Code Domaine,Domaine,Code zone,Zone,Code de devise ISO,Devise,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"PE","Taux de change - Annuels","235","Ouzbékistan","UZS","Uzbekistan Sum","5540","Unités de monnaie locale standardisée par USD","2018","2018","","8069.6062","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","165","Pakistan","PKR","Pakistan Rupee","5540","Unités de monnaie locale standardisée par USD","2018","2018","","121.8241","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","180","Palaos","USD","US Dollar","5540","Unités de monnaie locale standardisée par USD","2018","2018","","1","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","299","Palestine","USD","US Dollar","5540","Unités de monnaie locale standardisée par USD","2018","2018","","1","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","166","Panama","PAB","Balboa","5540","Unités de monnaie locale standardisée par USD","2018","2018","","1","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","168","Papouasie-Nouvelle-Guinée","PGK","Kina","5540","Unités de monnaie locale standardisée par USD","2018","2018","","3.279","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","169","Paraguay","PYG","Guarani","5540","Unités de monnaie locale standardisée par USD","2018","2018","","5732.1046","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","150","Pays-Bas","EUR","Euro","5540","Unités de monnaie locale standardisée par USD","2018","2018","","0.8468","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","170","Pérou","PEN","Sol","5540","Unités de monnaie locale standardisée par USD","2018","2018","","3.2866","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","171","Philippines","PHP","Philippine Peso","5540","Unités de monnaie locale standardisée par USD","2018","2018","","52.6614","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","173","Pologne","PLN","Zloty","5540","Unités de monnaie locale standardisée par USD","2018","2018","","3.6117","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","70","Polynésie française","XPF","CFP Franc","5540","Unités de monnaie locale standardisée par USD","2018","2018","","101.0468","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","177","Porto Rico","USD","US Dollar","5540","Unités de monnaie locale standardisée par USD","2018","2018","","1","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","174","Portugal","EUR","Euro","5540","Unités de monnaie locale standardisée par USD","2018","2018","","0.8468","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","179","Qatar","QAR","Qatari Rial","5540","Unités de monnaie locale standardisée par USD","2018","2018","","3.64","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","212","République arabe syrienne","SYP","Syrian Pound","5540","Unités de monnaie locale standardisée par USD","2018","2018","","434","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","37","République centrafricaine","XAF","CFA Franc BEAC","5540","Unités de monnaie locale standardisée par USD","2018","2018","","555.4465","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","117","République de Corée","KRW","Won","5540","Unités de monnaie locale standardisée par USD","2018","2018","","1100.5575","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","146","République de Moldova","MDL","Moldovan Leu","5540","Unités de monnaie locale standardisée par USD","2018","2018","","16.8021","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","250","République démocratique du Congo","CDF","Congolese Franc","5540","Unités de monnaie locale standardisée par USD","2018","2018","","1622.5235","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","120","République démocratique populaire lao","LAK","Kip","5540","Unités de monnaie locale standardisée par USD","2018","2018","","8489.2399","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","56","République dominicaine","DOP","Dominican Peso","5540","Unités de monnaie locale standardisée par USD","2018","2018","","49.51","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","116","République populaire démocratique de Corée","KPW","North Korean Won","5540","Unités de monnaie locale standardisée par USD","2018","2018","","104.9208","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","215","République-Unie de Tanzanie","TZS","Tanzanian Shilling","5540","Unités de monnaie locale standardisée par USD","2018","2018","","2263.7806","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","183","Roumanie","RON","Romanian Leu","5540","Unités de monnaie locale standardisée par USD","2018","2018","","3.9416","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","229","Royaume-Uni de Grande-Bretagne et d'Irlande du Nord","GBP","Pound Sterling","5540","Unités de monnaie locale standardisée par USD","2018","2018","","0.7496","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","184","Rwanda","RWF","Rwanda Franc","5540","Unités de monnaie locale standardisée par USD","2018","2018","","861.0934","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","189","Sainte-Lucie","XCD","East Caribbean Dollar","5540","Unités de monnaie locale standardisée par USD","2018","2018","","2.7","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","188","Saint-Kitts-et-Nevis","XCD","East Caribbean Dollar","5540","Unités de monnaie locale standardisée par USD","2018","2018","","2.7","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","192","Saint-Marin","EUR","Euro","5540","Unités de monnaie locale standardisée par USD","2018","2018","","0.8468","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","191","Saint-Vincent-et-les Grenadines","XCD","East Caribbean Dollar","5540","Unités de monnaie locale standardisée par USD","2018","2018","","2.7","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","244","Samoa","WST","Tala","5540","Unités de monnaie locale standardisée par USD","2018","2018","","2.5873","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","193","Sao Tomé-et-Principe","STD","Dobra","5540","Unités de monnaie locale standardisée par USD","2018","2018","","20.7509","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","195","Sénégal","XOF","CFA Franc BCEAO","5540","Unités de monnaie locale standardisée par USD","2018","2018","","555.4465","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","272","Serbie","RSD","Serbian Dinar","5540","Unités de monnaie locale standardisée par USD","2018","2018","","100.1751","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","196","Seychelles","SCR","Seychelles Rupee","5540","Unités de monnaie locale standardisée par USD","2018","2018","","13.9111","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","197","Sierra Leone","SLL","Leone","5540","Unités de monnaie locale standardisée par USD","2018","2018","","7931.6317","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","200","Singapour","SGD","Singapore Dollar","5540","Unités de monnaie locale standardisée par USD","2018","2018","","1.3488","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","280","Sint Maarten (partie néerlandaise)","ANG","Netherlands Antillean Guilder","5540","Unités de monnaie locale standardisée par USD","2018","2018","","1.79","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","199","Slovaquie","EUR","Euro","5540","Unités de monnaie locale standardisée par USD","2018","2018","","0.8468","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","198","Slovénie","EUR","Euro","5540","Unités de monnaie locale standardisée par USD","2018","2018","","0.8468","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","201","Somalie","SOS","Somali Shilling","5540","Unités de monnaie locale standardisée par USD","2018","2018","","24300","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","276","Soudan","SDG","Sudanese Pound","5540","Unités de monnaie locale standardisée par USD","2018","2018","","24.3289","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","277","Soudan du Sud","SSP","South Sudanese Pound","5540","Unités de monnaie locale standardisée par USD","2018","2018","","141.3858","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","38","Sri Lanka","LKR","Sri Lanka Rupee","5540","Unités de monnaie locale standardisée par USD","2018","2018","","162.4649","X","Sources internationales sûres","Data from UNSD AMA"
